,GQ_prc5_95,GQ_std_cycle_open,GQ_std_cycle_closed,GNE_mean,GNE_std,GNE_SNR_TKEO,GNE_SNR_SEO,GNE_NSR_TKEO,GNE_NSR_SEO,VFER_mean,VFER_std,VFER_entropy,VFER_SNR_TKEO,VFER_SNR_SEO,VFER_NSR_TKEO,VFER_NSR_SEO,IMF_SNR_SEO,IMF_SNR_TKEO,IMF_SNR_entropy,IMF_NSR_SEO,IMF_NSR_TKEO,IMF_NSR_entropy
10,1.0,15.1116,0.0,1.8062,0.59062,0.050828,1333792.265,1.4334,3.0065,0.0030767,0.0015271,8.4623,70.1327,613.9404,1.3019,1.4238,0.60305,0.092538,0.93901,0.11886,40.1839,0.12814
11,1.0,9.4609,0.0,1.5528,0.33623000000000003,0.069722,1747991.3180000002,1.4745,3.1510000000000002,0.0049882,0.0019847000000000003,12.9809,142.6087,234.0671,1.3615,1.318,0.13441,0.033052,0.53628,0.15337,42.7483,0.15086
12,0.90061,84.2815,12.7152,0.7137399999999999,0.10770999999999999,0.16161,1582786.751,1.6881,3.0394,0.0016272000000000003,0.0032021999999999997,3.5423,74.6793,66.4252,1.2107,1.1749,68.6895,1.8222,16.8969,0.22109,4.4579,0.18682
13,0.9495899999999999,77.2377,6.7641,0.8872,0.16087,0.16962,1345257.73,1.6891,3.0824,0.0011224,0.0020795,2.7999,97.696,121.2981,1.2788,1.2401,5.4399,0.41363999999999995,4.546,0.19769,15.6662,0.18136
14,0.89033,101.6465,12.7914,0.9215,0.16791,0.17951,1669174.207,1.7009999999999998,3.0451,0.0013241,0.0043705,2.8698,132.7405,107.6282,1.2613,1.2113,42.8757,1.8085,15.1947,0.21308000000000002,6.1217,0.17820999999999998
15,1.0,8.9216,0.0,1.3719999999999999,0.34975,0.069646,1658428.668,1.5184,3.1467,0.0015197000000000001,0.00052528,2.9454,92.8613,500.1984,1.3199,1.3696,0.39694,0.10709,1.0192,0.21335,95.8565,0.19008
16,0.91379,5.928,0.86603,1.2676,0.36138000000000003,0.097804,1731942.346,1.5559,2.9602,0.0010942999999999999,0.00045971,2.1052,76.6398,814.9224,1.2771,1.3761,8.3429,3.1104,7.3789,0.24918,14.2825,0.19805
17,0.8014899999999999,5.0695,1.4102,1.0934,0.22086,0.10611,1363345.8269999998,1.5844,2.8554,0.00060957,0.00029138,1.1883,66.5773,312.7576,1.2723,1.3151,13.5442,4.4771,8.7606,0.2996,16.3627,0.22904000000000002
18,0.88981,12.7615,2.5729,0.92791,0.17044,0.17363,1933826.091,1.6653,3.0271,0.00069828,0.0002661,1.4280000000000002,36.2479,130.2898,1.2505,1.2529,13.1734,2.9729,8.6258,0.18475999999999998,10.5543,0.16788
19,0.89474,15.9077,4.605,0.86982,0.089874,0.12843,2218999.261,1.6133,3.0667,0.00057781,0.0015537,1.1616,24.0529,54.966,1.202,1.1719,45.7527,4.4004,17.6735,0.2675,4.8624,0.20006
20,1.0,7.4182,0.32733,0.87702,0.077488,0.12864,2179452.108,1.6283,3.0126,0.00072232,0.00027843,1.5062,15.7268,71.4053,1.1974,1.2225,53.8211,4.8552,15.1998,0.22229000000000002,4.6751,0.18062999999999999
21,0.83673,24.685,5.3077,0.95389,0.30474,0.09851900000000001,1110514.977,1.5730000000000002,3.0489,0.00027382,0.00021548,0.58041,27.81,158.5053,1.1375,1.2211,79.8442,0.43133,16.8573,0.20076,8.0662,0.17423
22,0.82481,188.7306,35.3421,0.78284,0.14207999999999998,0.12635,1796323.5990000002,1.6116,3.0057,0.00016833,0.00027758,0.23751999999999998,23.5267,174.8578,1.1639,1.2642,23.9021,0.78682,10.3166,0.18666,7.9856,0.16374
23,0.81184,132.2405,29.473000000000003,0.70228,0.11852,0.14793,1827286.7140000002,1.661,3.0241,3.24e-05,8.05e-05,0.042957,19.8225,249.6355,1.1237,1.2796,54.9177,0.71121,16.5909,0.18706,7.0127,0.16036
24,0.78788,12.9195,3.1846,0.83236,0.07572000000000001,0.13828,1555852.562,1.6449,2.9871,0.00037225,0.00029564,0.74917,31.3995,463.4538,1.2304,1.3214,2.109,0.40713,2.4797,0.23264,23.5966,0.19453
25,0.98049,54.949,1.4146,0.9162,0.1038,0.13485999999999998,1770282.4030000002,1.645,2.9287,0.00073923,0.0017081,1.3407,38.6723,170.8886,1.2115,1.3067,0.8046800000000001,0.20506,1.2883,0.1748,28.0252,0.16345
26,0.93701,32.8521,3.2469,0.9849100000000001,0.14736,0.13789,1876014.4330000002,1.6487,3.0536,0.00048737,0.0018625,0.9310200000000001,14.2977,115.73,1.1374,1.2834,1.9831,0.41813,2.0687,0.13795,15.6647,0.13959000000000002
27,1.0,8.6995,0.0,1.0384,0.19927,0.15528,1740469.3969999999,1.6574,3.1011,0.00097138,0.00037846,2.2153,274.0513,281.2361,1.3399,1.2876,0.68598,0.39599,1.4759,0.20090999999999998,48.946000000000005,0.18479
28,1.0,82.0738,0.0,0.97344,0.16128,0.21494000000000002,1302566.281,1.7517,3.0866,0.0032481000000000003,0.0046297,6.4795,249.3541,246.5413,1.3308,1.2806,0.23784,0.11167,0.87087,0.19602,58.122,0.1746
29,1.0,42.3066,0.0,0.92614,0.12805,0.16233,1660437.7869999998,1.666,3.0596,0.0021656999999999996,0.0040258,3.9739,289.9133,221.3226,1.3402,1.2592,1.3979,0.94758,2.6077,0.23495,17.2012,0.19447
30,0.94545,94.1141,5.5332,1.5195,0.30585,0.07159700000000001,474091.1227,1.4878,2.8773,0.00073287,0.0023912,0.97065,101.9309,72.2812,1.2313,1.182,0.59559,0.14529,1.2964,0.14424,14.9388,0.15081
31,0.9674200000000001,78.7435,4.6452,1.1906,0.36714,0.08810499999999999,921917.5999,1.5473,2.8933,0.0009449,0.0021368000000000003,1.5173,275.2353,117.9991,1.2762,1.1958,0.10377,0.014953,0.39529000000000003,0.088451,13.6732,0.10887000000000001
32,0.79769,18.607,2.2461,1.5785,0.50392,0.070979,788009.8375,1.4964,3.0441,0.00052041,0.00056979,0.9052600000000001,44.75899999999999,113.7797,1.2253,1.2037,0.21705,0.047056,0.6544399999999999,0.10902,11.3937,0.12861
33,1.0,7.3677,0.0,1.5864,0.4239,0.083088,1370539.628,1.5044,2.9374,0.0015093,0.00047092,3.6601,10.7246,111.1272,1.2214,1.3256,5.8643,0.78962,3.8372,0.18182,26.2953,0.17931
34,1.0,4.6772,0.0,1.1155,0.17670999999999998,0.14325,1693327.2980000002,1.6088,3.0298,0.0014965,0.00062114,3.5878,7.8218,111.5596,1.1892,1.3528,13.8289,1.2393,5.904,0.16139,13.2105,0.16142
35,1.0,5.553999999999999,0.0,1.0274,0.08144,0.12299000000000002,1451112.198,1.6092,3.0738,0.0015208,0.00052903,3.5304,11.6103,137.0971,1.1683,1.3018,13.315999999999999,1.2337,7.0325,0.20806999999999998,10.7823,0.18562
36,0.78947,11.4858,2.9786,0.75069,0.079402,0.15645,1950179.961,1.681,3.0427,0.00015829,9.990000000000002e-05,0.35219,34.2739,65.2564,1.1764,1.1972,7.0779,0.85405,7.343,0.29617,14.4236,0.22573000000000001
37,0.80495,8.8138,2.1474,0.7539600000000001,0.11498,0.13155999999999998,1782870.302,1.6380000000000001,3.0476,0.00027546,0.00012178,0.59111,34.2254,130.5351,1.1867,1.2721,26.7204,2.6785,15.6787,0.29265,8.869,0.22230999999999998
38,0.81157,8.7763,2.3252,0.9121600000000001,0.13233,0.17475,1732494.937,1.7096,3.0466,0.000377,0.00015218,0.7863399999999999,59.7807,77.3309,1.2422,1.2193,7.3338,2.1799,8.126,0.2391,10.312999999999999,0.18892
39,1.0,9.1201,0.0,1.8829,0.39798,0.10645,926886.8032,1.6281,3.0703,0.00094253,0.00049839,2.2055,13.2708,100.571,1.1449,1.2503,13.3195,0.86695,6.9193,0.15252000000000002,10.7346,0.15147
40,0.62715,41.4768,19.3881,1.0529,0.22666999999999998,0.09724,1652716.649,1.5826,3.0302,0.00055305,0.00068444,1.3752,13.6642,71.4122,1.1299,1.2018,12.0227,0.49538999999999994,6.5760000000000005,0.16552999999999998,7.755,0.16037
41,1.0,12.0483,0.0,1.8324,0.6302300000000001,0.085018,1560026.626,1.5494,3.049,0.00070469,0.00061303,1.7474,15.969000000000001,94.6497,1.1295,1.2201,23.2457,1.0926,10.0563,0.14728,7.1031,0.14165
42,1.0,17.4095,0.0,0.9726100000000001,0.20063,0.15529,1066338.095,1.6633,3.0623,0.0015079000000000002,0.00087883,3.872,32.4584,58.3586,1.2619,1.1285,84.79799999999999,3.3065,18.8066,0.30066,9.0648,0.22471999999999998
43,1.0,11.4315,0.0,0.86026,0.075116,0.15669,1587016.51,1.6712,3.0648,0.0018204999999999999,0.0015154,4.4216,53.6248,85.5758,1.2318,1.1576,215.1392,5.6243,29.3507,0.25994,5.2205,0.2045
44,0.31034,29.5963,24.4949,1.0124,0.17639000000000002,0.15975999999999999,1540684.5659999999,1.6622,3.0601,0.00054334,0.00045486,1.5602,22.6776,55.2511,1.2421,1.1787,86.4917,5.0198,21.945999999999998,0.24154,6.6333,0.19286
45,0.96334,81.6551,5.882000000000001,0.8657100000000001,0.17401,0.11024,747486.646,1.5830000000000002,2.9771,0.00096525,0.0024066999999999995,1.472,270.7399,152.7599,1.3095,1.2171,0.53733,0.20815,1.1228,0.23171,22.1562,0.19316
46,0.9589700000000001,106.3405,4.7988,0.8457100000000001,0.19910999999999998,0.13301,1115430.061,1.6209,3.0116,0.0018195999999999998,0.0055467,2.3089,236.782,175.6272,1.272,1.2101,0.6264,0.26809,1.4818,0.24982,16.265,0.19762000000000002
47,0.88423,86.3062,8.0309,0.8319200000000001,0.17790999999999998,0.11875999999999999,1474142.2119999998,1.6057,2.9993,0.00044903,0.0020217,0.70534,196.1663,133.1138,1.2378,1.2015,1.6637,0.58094,2.7793,0.3076,21.346,0.23856999999999998
48,1.0,17.6127,0.0,0.9989,0.22754000000000002,0.19263,2198559.852,1.7305,3.0195,0.0012078,0.001277,3.2915,84.1572,311.2177,1.2258,1.2964,26.9116,2.0354,16.8896,0.2788,9.4355,0.21923
49,1.0,24.3534,0.0,1.0207,0.22078000000000003,0.17439000000000002,1864392.371,1.703,2.9386,0.00089744,0.0013725999999999999,2.4792,51.1387,213.9712,1.2013,1.2759,13.9266,2.1849,12.0468,0.20429,9.1597,0.17932
50,0.5414100000000001,46.1351,18.5728,0.8502,0.11979000000000001,0.18184,2270097.7180000003,1.7189,3.0178,0.00056819,0.00068714,1.6007,34.9742,137.1956,1.1643,1.2303,231.2814,2.509,29.4931,0.29533000000000004,5.9806,0.21463000000000002
51,1.0,15.8625,0.0,1.0973,0.1687,0.13008,1357371.539,1.6016,3.0381,0.0014761,0.00069094,3.7609,110.7815,356.4583,1.3167,1.3665,4.5658,1.1388,3.5861,0.14203,17.0696,0.15070999999999998
52,1.0,9.3503,0.0,1.1612,0.18634,0.10452,955046.4535,1.5632,2.9804,0.0016395,0.0010056000000000002,4.2203,79.0363,241.8917,1.3169,1.3633,2.0936,0.72425,2.3968,0.14165,24.698,0.15186
53,1.0,5.4427,0.0,1.0815,0.16976,0.14585,1714462.33,1.6352,3.0362,0.00088888,0.00032699,2.331,27.4301,332.5531,1.2052,1.3476,7.8755,1.1817,4.2879,0.11012999999999999,11.3317,0.12591
54,0.9434,47.3905,8.8063,1.0778,0.26148000000000005,0.13171,1675916.155,1.63,3.0407,0.00033291,0.0005146,0.7710199999999999,26.416,151.7245,1.2043,1.2891,6.2435,0.97031,5.78,0.1774,11.4487,0.16696
55,0.79372,71.5785,18.9211,1.0196,0.31832,0.14117000000000002,1585178.976,1.6499,3.0223,0.00034297,0.00056056,0.8672,60.5774,230.2975,1.2239,1.2996,9.2062,0.68437,7.5189,0.15811,7.5087,0.15116
56,0.93658,25.9836,1.3692,1.0169,0.23535,0.14654,1577201.586,1.6557,3.0210000000000004,0.00054233,0.00058972,1.1843,95.4156,257.1731,1.2471,1.2995,3.8259,1.1033,4.5459,0.14662,12.8532,0.14465999999999998
57,1.0,10.7366,0.0,0.90866,0.11172,0.15612,1570546.7769999998,1.6682,3.0503,0.0006506,0.00032103,1.4794,26.6145,58.1626,1.1868,1.2205,9.1769,2.0875,6.7052,0.18686,11.0359,0.17389000000000002
58,1.0,11.8196,0.0,0.90871,0.10661,0.15729,1176664.785,1.6582,3.034,0.00060094,0.00057035,1.3943,33.8895,259.7582,1.2138,1.3385,23.4655,1.3682,9.0592,0.16371,8.482999999999999,0.15597
59,1.0,14.2874,0.0,0.93429,0.10369,0.12218,1368153.719,1.6097,3.0229,0.00071561,0.0011767000000000001,1.5557,31.3143,77.9208,1.1878,1.2309999999999999,5.7752,1.1498,4.4836,0.15166,14.703,0.15459
60,1.0,5.3378,0.0,1.1601,0.12105,0.15666,1519170.428,1.6195,3.0006,0.0010087,0.00026510000000000005,2.2433,137.3846,668.8564,1.3132,1.3904,10.2124,2.9582,8.9866,0.2433,8.7107,0.2033
61,1.0,10.2949,0.0,1.3018,0.26458000000000004,0.18123,1708053.675,1.6308,2.9389,0.0010216000000000001,0.00043801,2.2687,138.0235,1387.1105,1.3248,1.4384,1.9572,0.76252,2.9163,0.18925,21.4652,0.17858
62,1.0,5.702999999999999,0.0,1.5191,0.27948,0.19482,1056468.366,1.645,2.9665,0.0012612,0.00051551,2.6849,152.8976,458.2481,1.3071,1.3059,5.9837,1.5729,5.3211,0.20629,17.3908,0.18603
63,0.90159,69.1139,16.5816,1.0235,0.29251,0.11507,1913246.785,1.6121,2.9926,0.0016215999999999997,0.007158499999999999,2.3496,329.0794,129.8079,1.2688,1.1903,17.2037,3.6180000000000003,15.0868,0.28654,10.8938,0.21804
64,0.9039200000000001,26.579,3.7039,1.0984,0.32766,0.12267,1845205.7380000001,1.6349,2.9886,0.0012202,0.00067618,2.2902,763.1964,200.2167,1.3542,1.2439,38.6107,4.2557,16.6951,0.33548,14.192,0.24265
65,0.94555,51.0248,1.2446,1.0717,0.27321999999999996,0.10733,1454283.0869999998,1.5926,2.9913,0.00074657,0.00049455,1.5032,316.426,210.0658,1.3004,1.2579,6.6219,1.8659999999999999,6.0046,0.22776,22.295,0.19747
66,1.0,3.7617,0.0,1.5825,0.19523,0.12244000000000001,2129020.833,1.5733,2.9659,0.0022784000000000003,0.00091302,6.0042,28.7465,843.3094,1.262,1.4073,3.6495,1.1082,3.1756,0.21579,23.198,0.19702999999999998
67,1.0,3.7476,0.0,1.5936,0.18584,0.12002,1093636.756,1.5711,3.0131,0.0026815999999999997,0.0013834000000000001,7.4322,9.1556,476.5219,1.1781,1.419,0.27346,0.032329000000000004,0.73445,0.10117000000000001,32.0187,0.113
68,0.63597,38.8365,12.0841,1.361,0.19647,0.13852,725111.0477,1.5822,2.9558,0.0027935,0.0015121,7.5694,28.7789,232.6105,1.3038,1.4319,0.084994,0.0054698,0.32276,0.070012,40.5691,0.088559
69,0.77413,62.2747,22.3719,1.0666,0.23121999999999998,0.09870599999999999,1318880.945,1.5826,3.0061,0.00061236,0.0022936999999999996,0.8659399999999999,31.8213,155.4788,1.1797,1.2715,13.0442,1.1614,8.5384,0.15342999999999998,8.0439,0.14818
70,0.78592,17.3561,4.8311,0.9293100000000001,0.2739,0.14717,1441857.0359999998,1.6633,3.0299,0.00033664,0.00015451,0.61645,45.9069,177.3465,1.186,1.2269,31.1528,0.69482,11.2085,0.16589,9.8989,0.15891
71,0.7934,19.7006,4.9213,0.95624,0.2292,0.12571,1626588.093,1.6235,3.0282,0.00019492,0.00015019,0.37379,17.8743,112.9576,1.1661,1.232,19.849,0.71943,10.1339,0.21311999999999998,5.377000000000001,0.1788
72,1.0,74.2144,0.0,0.9822299999999999,0.14493,0.13655,1365984.1630000002,1.6363,3.0091,0.0011413,0.0022521999999999998,2.5414,11.85,62.463,1.1369,1.1932,5.5452,0.7732899999999999,4.6501,0.20004,21.0373,0.18462
73,1.0,75.8682,0.0,0.8163199999999999,0.076065,0.1636,1873549.705,1.6772,3.08,0.00092882,0.0013965,2.3089,7.016,52.0031,1.1182,1.2055,3.9445,0.74684,3.528,0.16659000000000002,18.8062,0.16412000000000002
74,0.62738,90.6573,33.8438,0.80265,0.16717,0.14939000000000002,1889767.6930000002,1.6508,3.0796,0.0011124000000000002,0.0020259,2.5642,18.5299,63.593999999999994,1.1824,1.1782,8.1871,1.1223,5.6039,0.15373,12.8193,0.14837999999999998
75,1.0,18.6308,0.0,1.4201,0.3573,0.16078,1844372.255,1.6686,3.0433,0.0015159000000000001,0.0018519000000000003,3.3397,60.965,298.0994,1.2608,1.3785,82.2392,3.9236,20.7472,0.23317,6.7177,0.19371
76,1.0,45.5668,0.0,1.1672,0.2575,0.15647,1568030.885,1.6888,3.05,0.0021449000000000004,0.0084072,3.2515,131.1467,168.7475,1.213,1.1746,234.7791,3.4646,30.6063,0.28123000000000004,4.36,0.2151
77,1.0,10.3461,0.0,1.1196,0.20558,0.17703,1626033.7759999998,1.6967,3.0631,0.00074503,0.00057943,1.7957,28.6652,36.4668,1.1929,1.1772,96.5595,2.9083,18.9492,0.21256999999999998,6.8020000000000005,0.18011
78,1.0,7.5382,0.0,1.0549,0.17625,0.18188,1723421.927,1.6752,2.9448,0.0014219,0.00047741,3.1241,12.0653,263.9626,1.1505,1.3317,21.5636,0.75605,8.1459,0.11842000000000001,6.9594,0.12578
79,1.0,7.0077,0.0,1.3164,0.31892,0.092826,1474803.7280000001,1.5769,3.0932,0.0015466,0.00041439,3.3143,12.3184,239.3387,1.1555,1.3372,17.2748,0.93286,7.1786,0.14188,7.932,0.14238
80,1.0,6.9051,0.0,1.1532,0.24841,0.15067,1667544.3080000002,1.6439,2.9279,0.0022598,0.00056094,4.6981,28.3929,294.1994,1.2113,1.3524,14.8453,1.278,7.6231,0.1653,9.6972,0.15972999999999998
81,1.0,12.6582,0.0,1.3992,0.27753,0.15448,1547581.611,1.6604,3.063,0.0023899,0.002143,6.1791,116.0521,240.4896,1.3171,1.3406,1.1907,0.31813,1.9946,0.16305,19.8681,0.15524000000000002
82,1.0,35.8199,0.0,1.1447,0.17425,0.13883,1468313.416,1.631,3.0639,0.0037579,0.0051492,8.5202,88.8341,224.7329,1.3148,1.3204,15.3891,2.5451,10.6217,0.19513,6.472,0.174
83,1.0,8.2733,0.0,1.4919,0.31968,0.1616,1022737.948,1.6509,3.0046,0.0036931,0.003771,9.6181,96.3418,234.7474,1.3517,1.3509,16.0563,3.5129,9.2992,0.20474,9.3037,0.17697000000000002
84,1.0,7.6661,0.0,2.1966,0.26752,0.34148,1943369.136,1.8879,3.042,0.0023298000000000004,0.0012454,6.09,28.2889,176.5588,1.202,1.338,7.605,1.9991,7.6627,0.2337,7.4348,0.19504000000000002
85,1.0,18.7017,0.0,1.5897,0.16954,0.30896999999999997,1896308.2280000001,1.8524,2.9819,0.0032436,0.0012735,8.0133,203.7012,1099.6935,1.3487,1.4723,2.7974,1.125,4.8105,0.30196999999999996,7.4176,0.23594
86,0.45305,40.3874,14.974,1.4412,0.21994,0.30053,1919641.65,1.8517,2.9703,0.0017067,0.00092698,4.6119,72.2469,250.74400000000003,1.2683,1.37,12.2032,2.3371,11.2162,0.31771,7.9244,0.23394
87,1.0,51.7837,0.0,1.1642,0.20006,0.11915,1373330.5769999998,1.5901,3.0267,0.0075490999999999996,0.011179000000000001,13.7747,33.0798,202.0996,1.2446,1.3195,2.3721,0.7267899999999999,2.5951,0.16477,18.9888,0.1617
88,1.0,4.3205,0.0,1.0466,0.14399,0.13285,1164461.009,1.6027,3.0223,0.0029905,0.0010215,6.7821,37.7072,86.3885,1.2322,1.26,2.4277,0.88234,2.6827,0.20235999999999998,20.0397,0.18674000000000002
89,1.0,20.7716,0.0,1.2599,0.11822,0.091676,1520305.831,1.5423,3.0602,0.004045,0.004677000000000001,8.6505,33.6039,116.1317,1.2238,1.2586,2.4346,0.9084899999999999,2.9523,0.18782000000000001,18.4767,0.17194
90,1.0,26.1024,0.0,1.0821,0.20647,0.14636,1251383.133,1.6678,3.02,0.00036819,0.0005562000000000001,0.9792700000000001,56.69,92.6099,1.1748,1.1702,15.0015,0.042518,7.0123,0.16265,8.3503,0.15269000000000002
91,0.81825,71.1627,20.3789,1.1573,0.46708999999999995,0.22765,1575610.677,1.7191,2.9961,0.00086818,0.0014955,1.9889,251.1305,77.52,1.2235,1.1588,110.7974,0.30741999999999997,15.8532,0.15492999999999998,5.681,0.14993
92,1.0,27.1725,0.0,1.4206,0.33366,0.26311,1237671.367,1.7725,3.0151,0.0026893,0.0021553,5.8908,255.9556,72.137,1.2316,1.1439,58.5163,0.11800999999999999,11.5756,0.1734,6.4151,0.163
93,0.87287,75.3126,10.0028,0.87174,0.20717,0.13898,1572810.805,1.6335,3.0241,0.00045569999999999996,0.0022191999999999997,0.58707,88.8257,69.6759,1.1683,1.1378,133.2891,3.1368,28.2297,0.34920999999999996,5.7075,0.24861999999999998
94,0.88602,83.7118,10.3587,0.74975,0.16449,0.14274,868289.8801,1.6404,3.0218,0.00071539,0.002405,0.94444,48.0927,93.2292,1.215,1.1684,58.1159,2.2022,19.0569,0.22316999999999998,8.3679,0.1815
95,0.8333299999999999,66.5232,10.9322,0.7960699999999999,0.14019,0.12365,1253121.955,1.6219999999999999,3.0251,0.00046268,0.0013727000000000001,0.6785800000000001,77.0984,64.0657,1.1963,1.1333,53.2832,2.0411,18.4704,0.29600000000000004,9.9873,0.22684
96,0.9176700000000001,84.3274,8.8791,0.7042,0.11075,0.12868,1640229.483,1.6230000000000002,3.0282,0.0003288,0.00061732,0.55681,223.2564,76.2518,1.2878,1.1793,26.2682,2.3801,11.1417,0.47818999999999995,13.5856,0.30276
97,0.8809799999999999,68.0625,6.3075,0.8717799999999999,0.1838,0.12891,1412901.379,1.6213,3.0180000000000002,0.00069211,0.0038222,0.8367899999999999,628.7375,153.5151,1.2582,1.1495,60.9862,3.3402,17.3863,0.5392,14.0601,0.31905
98,0.80612,34.4895,7.8595,0.76213,0.12190999999999999,0.13459000000000002,1269940.506,1.6346,3.0151,0.00027135,0.00044873,0.44572,321.8401,150.2262,1.2851,1.2184,20.919,2.3428,12.8309,0.37819,9.3749,0.24838000000000002
99,0.8125,9.5213,2.0653,0.9944700000000001,0.1546,0.20669,1403807.976,1.7271,3.0338,0.00054772,0.00016803,0.9690700000000001,394.1868,154.2455,1.3219999999999998,1.2307,16.5497,3.6827,10.4773,0.19888,17.2041,0.17745
100,0.7834899999999999,16.4476,3.9095,0.80296,0.1289,0.21005,1597439.361,1.7258,3.0464,0.00069038,0.00040289,1.1484,185.1244,1186.4012,1.3069,1.4133,8.3302,2.2507,6.6986,0.16927999999999999,13.1874,0.15447
101,0.79532,17.9323,2.2975,0.9236,0.11055999999999999,0.23885,1670755.39,1.7574,2.9948,0.00055614,0.00035367,0.93884,408.3252,199.4683,1.3362,1.2512,7.9082,2.1505,6.9176,0.18293,20.4305,0.16218
102,1.0,8.5389,0.0,0.89655,0.11623,0.17412,2052840.894,1.6829,3.0435,0.00049839,0.00041432,1.3958,24.5323,109.9508,1.1708,1.2509,3.7223,0.46376000000000006,4.0693,0.28102,31.1476,0.22993000000000002
103,0.22471999999999998,36.3022,27.8885,0.9112600000000001,0.0881,0.161,1724495.582,1.6765,2.9923,0.0014481,0.0010349,3.424,27.4472,129.243,1.2193,1.2749,0.77975,0.08854,1.3043,0.12886,48.5302,0.14035
104,1.0,18.4869,0.0,0.96021,0.083945,0.17709,1894133.533,1.6893,3.0411,0.0021892,0.002182,4.9468,35.6807,163.7741,1.2651,1.3068,0.70778,0.10711,1.2959,0.14655,42.3566,0.15216
105,0.21053000000000002,32.5973,21.1238,1.0476,0.071186,0.15736,1981307.2680000002,1.6751,3.0234,0.0014953,0.00044610000000000006,3.9693,62.1859,95.2967,1.2637,1.2682,51.8931,15.7891,33.9168,0.24416,5.0691,0.19625
106,1.0,6.1608,0.0,0.9789700000000001,0.027355,0.15106,2063563.9409999999,1.6536,3.0660000000000003,0.0026866999999999998,0.00090908,6.5805,56.6619,147.7784,1.2974,1.2939,446.2624,13.2151,39.0121,0.25117,3.8922,0.19557
107,1.0,4.4679,0.0,1.0015,0.043923000000000004,0.14288,1692724.17,1.64,2.9635,0.0028503,0.00078679,6.9712,65.3816,128.3267,1.3042,1.2776,118.9604,9.5882,22.7627,0.21924000000000002,5.6888,0.18711
108,1.0,5.5225,0.0,0.98867,0.22380999999999998,0.16554000000000002,1397230.8730000001,1.6846,2.968,0.00099542,0.00031781,2.2204,22.4339,187.1353,1.2102,1.318,1.9552,0.72112,2.4975,0.15375,17.4428,0.15686
109,1.0,9.4424,0.0,0.9011399999999999,0.17784,0.14562,1306625.966,1.6276,3.05,0.00073379,0.00038113,1.6355,8.5479,55.2603,1.1214,1.2031,3.5119,1.0564,4.0967,0.15902,9.4057,0.15449000000000002
